[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba30

## TCGA_VERSIONED.DNA_METHYLATION_CHR16_HG38_GDC_2017_01
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba26
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba19
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-11
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_CPTAC_TCGA_PDC_V1_17
project_submitter_id: TEXT | Project Submitter ID (e.g. PJ25730263, Georgetown Lung Cancer Proteomics Study)
program_name: TEXT | Name of the data's source program
file_type: TEXT | File type (e.g. aligned_reads, simple_somatic_mutation, gene_expression)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
access: TEXT | Data accessibility policy (open or controlled)
file_id: TEXT | An identifier (UUID) to uniquely identify the file in PDC (e.g. 795dd383-5efd-484b-9c2f-f061ae617fc7)
sample_submitter_id: TEXT | Sample submitter id assigned by program (e.g. Tumor Pat1)
experiment_type: TEXT | General strategy used for differential analysis
file_size: NUMBER | The size of the file measured in bytes
file_format: TEXT | File format of the underlying data (eg BCR XML, BAM)
file_location: TEXT | Physical location of the file on the server
instrument: TEXT | Make and model of the mass spectrometry instrument
case_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific patient (e.g. 05BR016)
project_short_name: TEXT | Project name abbreviation (e.g. pediatric_brain_cancer)
data_category: TEXT | Category description of the underlying data (e.g. Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling)
file_name: TEXT | Name of file in PDC
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
program_short_name: TEXT | Program name abbreviation (e.g. CPTAC)
sample_type: TEXT | Text term to describe the source of a biospecimen used for a laboratory test

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R35
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
program_name: TEXT | Program name, eg TCGA or TARGET
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
access: TEXT | Data accessibility policy (open or controlled)
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
index_file_size: NUMBER | The size of the index file measured in bytes, when present
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
platform: TEXT | Platform used to generate data (null, Illumina)
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
file_name_key: TEXT | GDC path to original BAM or VCF file
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_size: NUMBER | The size of a file measured in bytes
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present

## TCGA_VERSIONED.DNA_METHYLATION_CHR17_HG19_GDC_2017_01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details

## TCGA_VERSIONED.DNA_METHYLATION_CHR3_HG38_GDC_2017_01
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba34
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba27
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-19

## TCGA_VERSIONED.DNA_METHYLATION_CHR4_HG19_GDC_2017_01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_JHU_PDC_V1_17
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene; includes identifiers from multiple sources (e.g. UniProt, NCBI RefSeq database)
gene_id: TEXT | Unique gene identifier assigned by PDC
uniprotkb_id: TEXT | Oldest UniProt id found in 'proteins' column list, derived programmatically
gene_symbol: TEXT | Gene symbol, sourced by PDC from NCBI
locus: TEXT | Gene cytoband, sourced by PDC from NCBI
aliquot_id: TEXT | Unique PDC identifier for this aliquot (e.g. e8db124a-693a-11ea-b1fd-0aad30af8a83)
authority: TEXT | Designating authority for the gene id
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)
organism: TEXT | Gene organism, sourced by PDC from NCBI
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
NCBI_gene_id: TEXT | NCBI gene identifier
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
aliquot_submitter_id: TEXT | Aliquot submitter id assigned by program (e.g. T14)
authority_gene_id: TEXT | Unique identifier assigned by authority (e.g. HGNC)
chromosome: TEXT | NCBI gene chromosome
uniprotkb_ids: TEXT | Every UniProt id found in 'proteins' column list

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R14
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
program_name: TEXT | Program name, eg TCGA or TARGET
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
